id,basisOfRecord,occurrenceID,recordedBy,eventDate,islandGroup,country,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,identificationQualifier,scientificName,kingdom,family,taxonRank
plant-occurrences_raja-ampat_j-schrader_2020_187,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_187,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.514186,130.587698,WGS84,30,,Eugenia reinwardtiana (Blume) A.Cunn. ex DC.,Plantae,Myrtaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_188,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_188,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516095,130.583098,WGS84,30,,Timonius DC.,Plantae,Rubiaceae,genus
plant-occurrences_raja-ampat_j-schrader_2020_189,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_189,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.520461,130.5808,WGS84,30,,Diospyros maritima Blume,Plantae,Ebenaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_19,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_19,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516784,130.571887,WGS84,30,,Diospyros maritima Blume,Plantae,Ebenaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_190,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_190,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517587,130.568534,WGS84,30,,Intsia bijuga (Colebr.) Kuntze,Plantae,Leguminosae,species
plant-occurrences_raja-ampat_j-schrader_2020_191,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_191,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517587,130.568534,WGS84,30,,Diospyros maritima Blume,Plantae,Ebenaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_192,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_192,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.515251,130.568484,WGS84,30,,Timonius DC.,Plantae,Rubiaceae,genus
plant-occurrences_raja-ampat_j-schrader_2020_193,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_193,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516626,130.572132,WGS84,30,,Guettarda speciosa L.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_194,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_194,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.514338,130.570002,WGS84,30,,Rapanea rawacensis (A. DC.) Mez,Plantae,Primulaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_195,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_195,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.51154,130.562918,WGS84,30,,Tarenna sambucina (G.Forst.) T.Durand ex Drake,Plantae,Rubiaceae,species
